unfoundTokens,addedTokens,count
xiii,xii,14
12,18,5
m,g,5
15,18,5
16,18,5
17,18,5
18,8,5
4p,18,5
9,8,5
f,e,5
g,e,5
h,e,5
14,18,5
iii,xii,5
xii,xi,4
normal,abnormal,2
iii,i,2
increased,decreased,2
vii,ix,1
xii,vii,1
xii,viii,1
i,0,1
xiii,vii,1
xiii,xi,1
c2,c1,1
xith,xiith,1
