input_fileName,unmatched_1st_count,macthed_1st_count,macthed_2nd_count,macthed_3rd_count,macthed_4th_count,macthed_5th_count,no_returned,count_total,top1_percentage,top2_percentage,top3_percentage,top4_percentage,top5_percentage,maxEdits
pt.csv,2538,22033,0,0,0,0,2538,24571,89.67,89.67,89.67,89.67,89.67,0
pt.csv,738,23833,489,179,37,19,5,24571,97,98.99,99.72,99.87,99.94,1
