unfoundTokens,addedTokens,count
xii,xi,27
d,e,22
xiii,xii,16
d,m,14
abnormal,normal,13
k,e,11
xiii,viii,9
x,v,8
decreased,increased,7
e,b,6
increased,decreased,6
i,iv,6
g,d,5
e,d,5
f,d,5
12,22,5
14,22,5
h,d,5
e,a,5
vaginal,anal,5
xii,viii,5
xiii,xi,5
iii,xiii,5
g,e,5
d,a,5
9,22,5
15,22,5
16,22,5
17,22,5
18,22,5
4,3,5
4p,22,5
8,22,5
xith,vth,5
a,e,4
c2,c4,4
renal,anal,3
m,e,3
ivb,iva,3
b2,b6,2
b1,b6,2
xii,ix,2
a,d,2
ivb,iv,2
pharyngeal,laryngeal,2
iva,iv,2
q,p,1
cyp3a4,cyp1a2,1
xii,vii,1
mm,mb,1
c,e,1
c1,c4,1
j,p,1
xiith,vith,1
xiith,vth,1
normal,abnormal,1
