unfoundTokens,addedTokens,count
increased,decreased,11
xiii,xi,9
12,18,5
decreased,increased,5
xii,xi,5
iii,xii,5
h,e,5
14,18,5
f,e,5
g,e,5
xith,xiith,5
18,8,5
15,18,5
16,18,5
17,18,5
9,8,5
4p,18,5
c2,c1,4
a,k,4
i,0,3
m,g,3
normal,abnormal,3
ivb,i,2
xii,vii,2
b2,b1,2
iva,i,2
d,g,1
j,p,1
q,p,1
xii,viii,1
d,k,1
